ID,Document reference,Publication year,Study case location,Spreading methods,Induced bank filtration,In-channel modifications,"Well, shaft, borehole recharge",Rainwater-runoff harvesting,Unspecified MAR type,Number of criteria used,Criteria category (main),Criteria category (specific),Criteria original,Criteria modified,Criteria weight,Criteria importance rank,Weight Assignment method,Decision rules,Constraint mapping,Constraint mapping parameters,Sensitivity Analysis,Water Source,Main objective of MAR,
8,"Zaidi, 2015",2015,Saudi Arabia,Yes,No,No,No,No,No,6,Surface,Geomorphological,Slope,Slope,NA,NA,Boolean logic,Boolean logic,NA,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
9,"Mahdavi, 2013",2013,Iran,Yes,No,No,No,No,No,5,Surface,Geomorphological,Slope,Slope,23.0,3,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 �mohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
9,"Mahdavi, 2013",2013,Iran,Yes,No,No,No,No,No,5,Surface,Soils,Soil surface infiltration rate,Hydrological soils,31.1,1,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 �mohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
9,"Mahdavi, 2013",2013,Iran,Yes,No,No,No,No,No,5,Aquifer,Storage capacity,Unsaturated zone thickness of alluvium,Unsaturated zone thickness,26.2,2,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 �mohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
9,"Mahdavi, 2013",2013,Iran,Yes,No,No,No,No,No,5,Water quality,Groundwater quality,Chemical quality of groundwater in alluvium (electrical conductivity),Groundwater - Salinity,19.7,4,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 �mohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
9,"Mahdavi, 2013",2013,Iran,Yes,No,No,No,No,No,5,Surface,Land use/ Land cover,Land use,Land use/Land cover,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,"Slope (> 8%); Surface permeability (<25 mm/hour); Unsaturated zone thickness of alluvium (<20 m); Chemical quality of groundwater in alluvium -EC (>2250 �mohs/cm); Land use (agriculture, urban, water, rock)",No,Stormwater/surface runoff,Nonspecific,No
10,"Patil, 2014",2014,India,No,No,No,No,No,Yes,6,Surface,Geomorphological,Slope,Slope,20.0,2,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
10,"Patil, 2014",2014,India,No,No,No,No,No,Yes,6,Surface,Geomorphological,Geomorphology,Geomorphology,25.0,1,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
10,"Patil, 2014",2014,India,No,No,No,No,No,Yes,6,Surface,Land use/ Land cover,Land use/Land cover,Land use/Land cover,25.0,1,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
10,"Patil, 2014",2014,India,No,No,No,No,No,Yes,6,Surface,Soils,Soil,Soil type/Soil texture,20.0,2,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
10,"Patil, 2014",2014,India,No,No,No,No,No,Yes,6,Surface,Hydrography,Drainage density,Drainage density/Drainage intensity,5.0,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
10,"Patil, 2014",2014,India,No,No,No,No,No,Yes,6,Surface,Geological,Lineament density,Lineament density,5.0,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
11,"Shaban, 2005",2005,Lebanon,No,No,No,No,No,Yes,5,Surface,Geological,Lineament density,Lineament density,22.9,2,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
11,"Shaban, 2005",2005,Lebanon,No,No,No,No,No,Yes,5,Surface,Hydrography,Drainage (sum of all drainage orders),Drainage order number,15.2,4,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
11,"Shaban, 2005",2005,Lebanon,No,No,No,No,No,Yes,5,Aquifer,Storage/flow capacity,Lithology,Geology / Lithology,30.5,1,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
11,"Shaban, 2005",2005,Lebanon,No,No,No,No,No,Yes,5,Aquifer,Storage capacity,Karstic domains,Karstic domains,19.0,3,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
11,"Shaban, 2005",2005,Lebanon,No,No,No,No,No,Yes,5,Surface,Land use/ Land cover,Land use/Land cover,Land use/Land cover,12.4,5,Multi influencing factor,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,Yes
12,"Sukumar, 2010",2010,India,No,No,No,No,No,Yes,6,Aquifer,Storage/flow capacity,Geology,Geology / Lithology,15.6,4,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
12,"Sukumar, 2010",2010,India,No,No,No,No,No,Yes,6,Surface,Hydrography,Drainage intensity,Drainage density/Drainage intensity,8.9,5,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
12,"Sukumar, 2010",2010,India,No,No,No,No,No,Yes,6,Surface,Soils,Soil texture,Soil type/Soil texture,6.7,6,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
12,"Sukumar, 2010",2010,India,No,No,No,No,No,Yes,6,Surface,Soils,Permeability (soil),Hydrological soils,26.7,1,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
12,"Sukumar, 2010",2010,India,No,No,No,No,No,Yes,6,Surface,Soils,Effective soil depth,Soil depth,22.2,2,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
12,"Sukumar, 2010",2010,India,No,No,No,No,No,Yes,6,Surface,Soils,Soil water holding capacity,Hydrological soils,20.0,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Hydrometeorology,Precipitation,Rainfall,Rainfall,17.1,1,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Surface,Geological,Lineament density,Lineament density,9.9,6,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Surface,Geomorphological,Slope,Slope,12.6,4,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Surface,Hydrography,Drainage density,Drainage density/Drainage intensity,10.2,6,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Surface,Land use/ Land cover,Land use/Land cover,Land use/Land cover,10.2,6,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Aquifer,Storage/flow capacity,Lithology,Geology / Lithology,15.2,2,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Surface,Geomorphological,Geomorphology,Geomorphology,10.7,5,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
13,"Senanayake, 2016",2016,Sri Lanka,Yes,No,Yes,Yes,No,No,8,Surface,Soils,Soil type layers,Soil type/Soil texture,14.2,3,Rating method,WLC,No,NA,No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Aquifer,Storage/flow capacity,Lithology,Geology / Lithology,6.0,5,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Surface,Geomorphological,Land forms,Geomorphology,14.1,1,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Surface,Geological,150 m buffer from lineaments,Distance to Lineaments / Faults,10.1,3,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Surface,Land use/ Land cover,Land use/Land cover,Land use/Land cover,14.1,1,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Management,Impact assessment,"Over water bodies, settlements or forests","Presence of water bodies, settlements or forests",NA,NA,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Surface,Hydrography,Drainage density,Drainage density/Drainage intensity,10.1,3,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Surface,Soils,Hydrological soils (permeability),Hydrological soils,9.1,4,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Aquifer,Storage capacity,Weathered zone thickness,Aquifer thickness,12.1,2,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Aquifer,Storage capacity,Fractured zone thickness,Aquifer thickness,12.1,2,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
14,"Krishnamurthy, 2000",2000,India,Yes,No,Yes,No,No,No,10,Aquifer,Storage capacity,Groundwater yields,Groundwater yields,12.1,2,Ranking method,WLC,Yes,"(Water bodies, settlements, forest area)",No,Stormwater/surface runoff,Agriculture,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Management,Impact assessment,"Ecological Suitability-Based on rarity, sensitivity","Ecological Suitability-Based on rarity, sensitivity",12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Management,Economical,Location of existing wells,Distance to wells,12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Water quality,General,Source water quality,Source water quality,12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Water quality,Groundwater quality,Groundwater quality (Chloride),Groundwater - Chloride,12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Management,Impact assessment,Road Density,Distance to roads,12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Management,Economical,Distance to existing power lines,Distance to existing power lines,12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Aquifer,Flow capacity,Aquifer transmissivity,Aquifer transmissivity,12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
15,"Brown, 2005",2005,USA,No,No,No,Yes,No,No,8,Management,Economical,Operational Flexibility (proximity to several water sources),Distance between water supply sources and MAR site,12.5,1,Ranking method,WLC,Yes,"Land size (<5 acres), Distance from Lake Okeechobee to water source (>3 miles), Land use (urban, commercial, lakes, streams, reservoirs, wetlands, swamps, mangroves, submerged aquatic vegetation, costal habitat areas, forested land, sewage treatment plant, landfill).",No,Lake water,Ecological,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Aquifer,Storage/flow capacity,Geology,Geology / Lithology,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Surface,Geomorphological,Slope,Slope,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Surface,Geomorphological,Presence of dune system,Presence of dune system,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Aquifer,Storage/flow capacity,Hydrogeology,Hydrogeology,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Aquifer,Storage capacity,Piezometry,Groundwater level,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Surface,Geological,Presence of fractured outcrop,Fractured outcrop,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Aquifer,Flow capacity,Aquifer permeability,Aquifer permeability,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Aquifer,Storage capacity,Aquifer storability (Storage coefficient),Aquifer storage capacity,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Water quality,General,Distance from pollution source e.g. sewage,Distance from pollution source e.g. sewage,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Management,Economical,Irrigated areas and water source,Distance between water supply sources and MAR site,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Management,Economical,Distance between water supply sources and MAR site,Distance between water supply sources and MAR site,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Management,Economical,Presence of aqueducts,Presence of aqueducts,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Surface,Hydrography,Risk of flooding and tilt cartography,Risk of flooding and tilt cartography,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Management,Impact assessment,Distance from Hill/reservoir/forest,Distance from Hill/reservoir/forest,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Management,Impact assessment,Current MAR sites,Presence of current MAR sites,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Management,Impact assessment,Administrative boundaries,Administrative boundaries,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Surface,Hydrography,Availability of surplus water,Availability of surplus water,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Water quality,Groundwater quality,Presence of marine intrusion control networks,Presence of marine intrusion control networks,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Surface,Land use/ Land cover,Dry wetlands,Presence of dry wetlands,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Water quality,Surface water quality,Electrical conductivity,Surface water quality - Electrical conductivity,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
16,"Fernandez, 2014",2014,Spain,No,No,No,No,No,Yes,21,Water quality,Groundwater quality,Control of Nitrate in groundwater network,Groundwater - Nitrates,NA,NA,Rating method,WLC,Yes,Vulnerable areas (presence) ; Presence Dune systems(absent);Distance to urban areas(< 1-5km),No,Stormwater/surface runoff; treated wastewater,Nonspecific,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Surface,Soils,Soil texture,Soil type/Soil texture,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Surface,Soils,Soil salinity,Soil salinity,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Aquifer,Storage/flow capacity,Geology,Geology / Lithology,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Aquifer,Storage capacity,Aquifer depth,Aquifer thickness,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Management,Impact assessment,Distance from urban agglomerations/tourist,Distance to urban areas,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Management,Impact assessment,Distance from hill reservoirs,Distance from Hill/reservoir/forest,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Surface,Geomorphological,Slope,Slope,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Management,Economical,Water Transfer cost from WWTP to SAT(pipe length),Cost of effluent transfer,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Management,Economical,Pumping elevation(cost of pumping),Elevation from water source to MAR site,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
17,"Kallali, 2007",2007,Tunisia,No,No,No,Yes,No,No,11,Management,Economical,Distance from wastewater to destination,Distance between water supply sources and MAR site,NA,NA,Boolean logic,Boolean logic,NA,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, Miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
